N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_proportion_warehouse,holding_costs_proportion_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF01,mc,not_sequential,all,0,49006.030000000006,0.18017005920410156,0.5111501216888428,0.0,1.4847065992049192e-16,0,0.6390642131182631,0.3609357868817365,0.4812248547161377,0.5187751452838623,7.0,375.0,0.21158376597054632,0.7884162340294539,27130,15,24816,
50,15,DD_DF02,mc,not_sequential,all,0,52124.79,0.1953439712524414,0.3423759937286377,0.0,0.0,0,0.6507268422568225,0.34927315774317746,0.5043780771838793,0.4956219228161208,7.0,378.0,0.20144690233162085,0.798553097668379,27130,15,24816,
50,15,DD_DF03,mc,not_sequential,all,0,49718.84999999995,0.11313104629516602,0.22095894813537598,0.0,8.780522012295256e-16,0,0.5636494005794589,0.4363505994205416,0.4456537253782472,0.5543462746217528,6.0,362.0,0.2379366531688399,0.7620633468311613,27130,15,24816,
50,15,DD_DF04,mc,not_sequential,all,0,51823.86,0.23753809928894043,0.3826148509979248,0.0,1.4039783246912573e-16,0,0.6591751367034412,0.34082486329655876,0.5089429466350517,0.4910570533649483,7.0,381.0,0.19945807190907927,0.8005419280909206,27130,15,24816,
50,15,DD_DF05,mc,not_sequential,all,0,52208.17,0.4140760898590088,0.3863258361816406,0.0,1.3936434880179532e-16,0,0.6547251129468817,0.3452748870531182,0.49882979345854545,0.5011702065414546,7.0,387.0,0.21582510316944759,0.7841748968305523,27130,15,24816,
50,15,DD_DF06,mc,not_sequential,all,0,52284.02,0.13616609573364258,0.7170360088348389,0.0,0.0,0,0.599303573061138,0.4006964269388619,0.5016914533733324,0.4983085466266675,6.0,362.0,0.25305465102181296,0.7469453489781879,27130,15,24816,
50,15,DD_DF07,mc,not_sequential,all,0,52940.81999999995,0.1434011459350586,0.27530503273010254,0.0,9.620497623437649e-16,0,0.5529381675614399,0.4470618324385613,0.5075325385167219,0.4924674614832781,6.0,353.0,0.2571635241437529,0.7428364758562465,27130,15,24816,
50,15,DD_DF08,mc,not_sequential,all,0,51203.240000000005,0.1404280662536621,0.2888309955596924,0.0,1.4209955491456058e-16,0,0.5698467518852322,0.4301532481147676,0.5136061416135445,0.48639385838645555,6.0,349.0,0.22449244593929515,0.7755075540607052,27130,15,24816,
50,15,DD_DF09,mc,not_sequential,all,0,49252.209999999875,0.15830016136169434,0.32385897636413574,0.0,2.659113917026302e-15,0,0.64628571997074,0.35371428002926264,0.5006754421790078,0.4993245578209921,7.0,372.0,0.17114195856659778,0.8288580414334012,27130,15,24816,
50,15,DD_DF10,mc,not_sequential,all,0,51860.21,0.18763113021850586,0.3758718967437744,0.0,0.0,0,0.5987249183911905,0.40127508160881004,0.4744605475040258,0.5255394524959742,6.0,362.0,0.2182582491959473,0.7817417508040517,27130,15,24816,
