N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,Unnamed: 24
50,15,DD_DF,tp,fix_y,fixed_intervals,4.0,58555.05399999999,0.0440756559371947,0.0830932140350341,0.0,9.830552064405212e-17,0.0,0.4208461104182073,0.5791538895817927,0.4682823581875859,0.5317176418124141,4.0,329.1,0.3838649138053481,0.6161350861946522,41565.0,15.0,18761.0,
50,15,DD_DF,tp,fix_y,fixed_intervals,5.0,66364.893,0.0421307802200317,0.0743802547454833,0.0,6.556873412462136e-17,0.0,0.3102520896999055,0.6897479103000946,0.4216815514896829,0.578318448510317,3.0,316.3,0.4925426952143565,0.5074573047856437,41565.0,15.0,18762.0,
50,15,DD_DF,tp,fix_y,fixed_intervals,3.0,54995.55700000001,0.0499222040176391,0.0947420120239257,0.0,6.628802838556137e-17,0.0,0.5292411607693374,0.4707588392306626,0.5128969834626504,0.4871030165373495,5.0,337.9,0.267886454144957,0.7321135458550428,41565.0,15.0,18760.0,
50,15,DD_DF,tpc,fix_y,fixed_intervals,3.0,54995.55699999999,0.0426371574401855,0.0776793956756591,0.0,5.391846557782503e-17,0.0,0.5292411607693375,0.4707588392306626,0.5128969834626504,0.4871030165373495,5.0,337.9,0.267886454144957,0.7321135458550432,35445.0,15.0,12760.0,
50,15,DD_DF,tpc,fix_y,fixed_intervals,4.0,58555.05399999999,0.0371963024139403,0.0665571212768554,0.0,7.443953408127562e-17,0.0,0.4208461104182072,0.5791538895817928,0.4682823581875859,0.5317176418124141,4.0,329.1,0.383864913805348,0.6161350861946518,35445.0,15.0,12761.0,
50,15,DD_DF,tpc,fix_y,fixed_intervals,5.0,66364.893,0.034726071357727,0.0608472824096679,0.0,9.850211524077248e-17,0.0,0.3102520896999055,0.6897479103000944,0.4216815514896829,0.578318448510317,3.0,316.3,0.4925426952143567,0.5074573047856437,35445.0,15.0,12762.0,
50,15,DD_DF,sp,fix_y,fixed_intervals,3.0,54995.55699999999,0.0643902778625487,0.1619580030441283,0.0,5.2612753624233154e-17,0.0,0.5292411607693375,0.4707588392306626,0.5128969834626504,0.4871030165373495,5.0,337.9,0.267886454144957,0.7321135458550427,41565.0,15.0,13750.0,
50,15,DD_DF,sp,fix_y,fixed_intervals,4.0,58555.05399999999,0.0581577539443969,0.1416552782058715,0.0,6.064786769879397e-17,0.0,0.42081372857868,0.5791862714213198,0.4683194888182808,0.5316805111817192,4.0,329.0,0.3837125846542858,0.6162874153457143,41565.0,15.0,13751.0,
50,15,DD_DF,sp,fix_y,fixed_intervals,5.0,66364.893,0.0517858266830443,0.1304582834243774,0.0,7.580831822345756e-17,0.0,0.310144905609955,0.6898550943900449,0.4218249069904064,0.5781750930095935,3.0,316.2,0.4921486020832494,0.5078513979167505,41565.0,15.0,13752.0,
50,15,DD_DF,spc,fix_y,fixed_intervals,3.0,54995.55699999999,0.0401684522628783,0.1371162176132201,0.0,6.58738425753231e-17,0.0,0.5292411607693375,0.4707588392306626,0.5128969834626504,0.4871030165373495,5.0,337.9,0.2678864541449571,0.7321135458550431,34765.0,15.0,7510.0,
50,15,DD_DF,spc,fix_y,fixed_intervals,4.0,58555.05399999999,0.0346192359924315,0.1158502101898193,0.0,1.1085134516964806e-16,0.0,0.420860974874188,0.579139025125812,0.4682661711863193,0.5317338288136807,4.0,329.1,0.3839053255205159,0.6160946744794843,34765.0,15.0,7511.0,
50,15,DD_DF,spc,fix_y,fixed_intervals,5.0,66364.893,0.0315179824829101,0.1049685716629027,0.0,1.199819133168123e-16,0.0,0.3100942601384149,0.6899057398615851,0.4218994159725127,0.5781005840274872,3.0,316.2,0.4925633370210332,0.5074366629789667,34765.0,15.0,7512.0,
50,15,DD_DF,mc,fix_y,fixed_intervals,3.0,54995.55699999996,0.0450129270553588,0.0912273645401,0.0,6.988961482227622e-16,0.0,0.5292411607693377,0.4707588392306628,0.5128969834626504,0.4871030165373495,5.0,337.9,0.267886454144957,0.7321135458550427,27130.0,15.0,24826.0,
50,15,DD_DF,mc,fix_y,fixed_intervals,4.0,58555.05399999997,0.0421125173568725,0.081265091896057,0.0,6.47322047287139e-16,0.0,0.4208609748741881,0.5791390251258122,0.4682661711863193,0.5317338288136807,4.0,329.1,0.3839053255205158,0.616094674479484,27130.0,15.0,24827.0,
50,15,DD_DF,mc,fix_y,fixed_intervals,5.0,66364.89299999995,0.0439332962036132,0.0766078233718871,0.0,5.5781889889965575e-16,0.0,0.3102520896999056,0.6897479103000952,0.4216815514896829,0.578318448510317,3.0,316.3,0.4925426952143562,0.507457304785643,27130.0,15.0,24828.0,
50,15,DD_DF,owmr,fix_y,fixed_intervals,3.0,54995.55700000001,0.0044717788696288,0.4176425695419311,4.18424525317846e-05,0.5886720162899649,57.9,0.5292411607693374,0.4707588392306626,0.5128969834626506,0.4871030165373494,5.0,337.9,0.2678864541449571,0.732113545855043,2346.0,765.0,1591.0,
50,15,DD_DF,owmr,fix_y,fixed_intervals,4.0,58555.08,0.0048274040222167,0.3209678649902344,3.446715358275897e-05,0.481595342845002,17.0,0.4209369125396985,0.5790630874603014,0.468179531275732,0.5318204687242679,4.0,329.00000000000006,0.3836470952920867,0.6163529047079133,2346.0,765.0,1592.0,
50,15,DD_DF,owmr,fix_y,fixed_intervals,5.0,66364.89300000001,0.004745864868164,0.2360005855560302,3.1423177438178056e-05,0.3665813361751904,18.0,0.3101709937212117,0.6898290062787885,0.4217934810869377,0.5782065189130623,3.0000000000000027,316.1,0.492029900374159,0.5079700996258407,2346.0,765.0,1593.0,
50,15,DD_DF,es,fix_y,fixed_intervals,3.0,54995.55699999995,0.0069632768630981,0.3840858936309814,9.912737136547736e-06,0.3884815285424942,43.8,0.5292411607693379,0.4707588392306621,0.5128969834626504,0.4871030165373494,5.0,337.90000000000003,0.2678864541449556,0.7321135458550442,2346.0,765.0,1606.0,
50,15,DD_DF,es,fix_y,fixed_intervals,4.0,58555.07899999993,0.0068161010742186,0.2260352611541747,6.989950694160615e-06,0.3014434399682032,2.6,0.4208283108360845,0.5791716891639154,0.4683012924164776,0.5316987075835222,4.0,329.1000000000002,0.3841101403991905,0.6158898596008093,2346.0,765.0,1607.0,
