N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF01,spc,total_sum,max_gap,1,67404.92,0.06261396408081055,0.3014950752258301,0.0,0.0,0,0.8557832276931714,0.1442167723068286,0.7052215519034741,0.2947784480965259,15.0,435.0,0.0,1.0,34765,15,7515,
50,15,DD_DF02,spc,total_sum,max_gap,1,69324.34,0.0708920955657959,0.30255699157714844,0.0,0.0,0,0.8636504869718198,0.13634951302818035,0.6932956974879744,0.30670430251202563,15.0,444.0,0.0,1.0,34765,15,7515,
50,15,DD_DF03,spc,total_sum,max_gap,1,72143.19,0.07221698760986328,0.3369300365447998,0.0,0.0,0,0.8631029484557031,0.13689705154429693,0.7195464692373167,0.28045353076268326,15.0,443.0,0.0,1.0,34765,15,7515,
50,15,DD_DF04,spc,total_sum,max_gap,1,69139.9,0.06752490997314453,0.31795692443847656,0.0,0.0,0,0.8622083630436261,0.137791636956374,0.6996460503581433,0.30035394964185663,15.0,445.0,0.0,1.0,34765,15,7515,
50,15,DD_DF05,spc,total_sum,max_gap,1,67841.6,0.07407808303833008,0.31223106384277344,0.0,0.0,0,0.8566720124525364,0.14332798754746354,0.6828349220551292,0.31716507794487075,15.0,441.0,0.0,1.0,34765,15,7515,
50,15,DD_DF06,spc,total_sum,max_gap,1,74956.62,0.07728695869445801,0.3318190574645996,0.0,1.9413782569660762e-16,0,0.8751862077025352,0.12481379229746485,0.7316809194981784,0.2683190805018216,15.0,437.0,0.0,1.0,34765,15,7515,
50,15,DD_DF07,spc,total_sum,max_gap,1,72904.75,0.08173799514770508,0.3317451477050781,0.0,0.0,0,0.8718636302847208,0.12813636971527917,0.7280021396095213,0.27199786039047874,15.0,443.0,0.0,1.0,34765,15,7515,
50,15,DD_DF08,spc,total_sum,max_gap,1,71034.16,0.06885313987731934,0.3036501407623291,0.0,0.0,0,0.8672869503911921,0.13271304960880792,0.7207460191212037,0.2792539808787962,15.0,448.0,0.0,1.0,34765,15,7515,
50,15,DD_DF09,spc,total_sum,max_gap,1,69520.09,0.07141995429992676,0.3166031837463379,0.0,0.0,0,0.8685690711850345,0.13143092881496554,0.7058443601675969,0.29415563983240317,15.0,441.0,0.0,1.0,34765,15,7515,
50,15,DD_DF10,spc,total_sum,max_gap,1,72692.25,0.07436299324035645,0.3392469882965088,0.0,0.0,0,0.865498041400562,0.13450195859943803,0.713534133354526,0.2864658666454741,15.0,436.0,0.0,1.0,34765,15,7515,
50,15,DD_DF01,spc,total_sum,max_gap,2,49250.57,0.07191300392150879,0.23172998428344727,0.0,1.4773347017472946e-16,0,0.682611389066157,0.3173886109338429,0.5098902406377346,0.49010975936226536,8.0,392.0,0.20436206983687505,0.7956379301631251,34765,15,7514,
50,15,DD_DF02,spc,total_sum,max_gap,2,52737.38,0.08423900604248047,0.24661803245544434,0.0,1.379658529525628e-16,0,0.7055147601189138,0.2944852398810863,0.5218641653452307,0.4781358346547693,8.0,392.0,0.16203724570808953,0.8379627542919105,34765,15,7514,
50,15,DD_DF03,spc,total_sum,max_gap,2,54159.909999999996,0.07969093322753906,0.2588958740234375,0.0,1.3434212896925838e-16,0,0.7269952996598407,0.27300470034015956,0.5582363996545944,0.44176360034540557,9.0,411.0,0.167152376823611,0.8328476231763887,34765,15,7514,
50,15,DD_DF04,spc,total_sum,max_gap,2,51839.91,0.09260797500610352,0.24311494827270508,0.0,1.4035436431474178e-16,0,0.7124240763535276,0.28757592364647233,0.5214718942922127,0.4785281057077873,8.0,398.0,0.16578447280671804,0.834215527193282,34765,15,7514,
50,15,DD_DF05,spc,total_sum,max_gap,2,52700.92,0.08480310440063477,0.24628019332885742,0.0,0.0,0,0.7058890053532273,0.2941109946467726,0.5302545630493803,0.4697454369506196,8.0,395.0,0.16354923122183868,0.8364507687781616,34765,15,7514,
