N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF01,spc,total_sum,min_gap,2,49006.03,0.08994603157043457,0.3095099925994873,0.0,0.0,0,0.6390642131182632,0.3609357868817368,0.4812248547161377,0.5187751452838623,7.0,375.0,0.2115837659705462,0.7884162340294534,34765,15,7514,
50,15,DD_DF02,spc,total_sum,min_gap,2,52124.78999999999,0.13892507553100586,0.3133111000061035,0.0,1.3958727918488357e-16,0,0.6507268422568226,0.34927315774317746,0.5043780771838793,0.4956219228161208,7.0,378.0,0.2014469023316209,0.7985530976683793,34765,15,7514,
50,15,DD_DF03,spc,total_sum,min_gap,2,49718.85,0.08889913558959961,0.2938370704650879,0.0,0.0,0,0.5636494005794583,0.4363505994205414,0.4456537253782472,0.5543462746217528,6.0,362.0,0.23793665316883977,0.7620633468311612,34765,15,7514,
50,15,DD_DF04,spc,total_sum,min_gap,2,51823.86,0.13361191749572754,0.3157041072845459,0.0,1.4039783246912573e-16,0,0.6591751367034412,0.3408248632965589,0.5089429466350517,0.4910570533649483,7.0,381.0,0.1994580719090792,0.8005419280909207,34765,15,7514,
50,15,DD_DF05,spc,total_sum,min_gap,2,52208.17,0.11167693138122559,0.32167696952819824,0.0,0.0,0,0.6547251129468817,0.34527488705311815,0.49882979345854545,0.5011702065414546,7.0,387.0,0.21582510316944764,0.7841748968305529,34765,15,7514,
50,15,DD_DF06,spc,total_sum,min_gap,2,52284.02,0.10664677619934082,0.30975914001464844,0.0,1.3916216875028787e-16,0,0.599303573061138,0.40069642693886176,0.5016914533733324,0.4983085466266675,6.0,362.0,0.253054651021813,0.7469453489781878,34765,15,7514,
50,15,DD_DF07,spc,total_sum,min_gap,2,53378.55,0.1194000244140625,0.34630799293518066,0.0,0.0,0,0.5852725486173753,0.4147274513826244,0.5327614352933645,0.4672385647066355,6.0,348.0,0.2235342212665811,0.7764657787334193,34765,15,7514,
50,15,DD_DF08,spc,total_sum,min_gap,2,51203.24,0.11352109909057617,0.29106712341308594,0.0,1.420995549145606e-16,0,0.5698467518852323,0.43015324811476763,0.5136061416135445,0.48639385838645555,6.0,349.0,0.22449244593929515,0.7755075540607047,34765,15,7514,
50,15,DD_DF01,spc,total_sum,min_gap,3,51767.83,0.11024188995361328,0.3212871551513672,0.0,0.0,0,0.5046956768325038,0.49530432316749584,0.4759826998890037,0.5240173001109963,5.0,336.0,0.28074364207398916,0.7192563579260117,34765,15,7513,
50,15,DD_DF09,spc,total_sum,min_gap,2,49252.20999999999,0.11220407485961914,0.29756808280944824,0.0,2.9545710189181063e-16,0,0.6462857199707385,0.3537142800292619,0.5006754421790078,0.4993245578209921,7.0,372.0,0.17114195856659775,0.8288580414334018,34765,15,7514,
