N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF,spc,total_sum,min_gap,2.0,51285.993,0.11262280941009517,0.3115804433822632,0.0,8.567039372106684e-17,0.0,0.6166774217530542,0.38332257824694577,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397682,0.7843267977460234,34765.0,15.0,7514.0,
50,15,DD_DF,spc,total_sum,min_gap,3.0,54461.570999999996,0.13731124401092526,0.3110008716583252,0.0,7.939599616334622e-17,0.0,0.49453019734900155,0.5054698026509987,0.4801204472752941,0.5198795527247059,4.9,339.2,0.29954931163030535,0.7004506883696944,34765.0,15.0,7513.0,
50,15,DD_DF,spc,consecutive_sum,min_gap,2.0,51285.993,0.12173738479614253,0.32754518985748293,0.0,0.0007653980617623065,0.0,0.6166774217530542,0.38332257824694577,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397682,0.7843267977460234,34796.0,15.0,7576.0,
50,15,DD_DF,tpc,total_sum,min_gap,2.0,51285.993,0.10459356307983396,0.20363330841064448,0.0,1.564621301972486e-16,0.0,0.6166774217530542,0.3833225782469458,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397676,0.7843267977460234,35445.0,15.0,12764.0,
50,15,DD_DF,tpc,total_sum,min_gap,3.0,54461.570999999996,0.14986948966979977,0.24132201671600337,0.0,1.3319064150409408e-16,0.0,0.49453671910903907,0.5054632808909609,0.4801145370041152,0.5198854629958848,4.9,339.2,0.29949053309188034,0.7005094669081197,35445.0,15.0,12763.0,
50,15,DD_DF,spc,consecutive_sum,min_gap,3.0,54461.570999999996,0.14541857242584225,0.4076096534729004,0.0,0.05611067235644272,0.0,0.49453019734900155,0.5054698026509987,0.48012044727529385,0.5198795527247061,4.9,339.2000000000001,0.29954931163030546,0.7004506883696943,34796.0,15.0,7576.0,
50,15,DD_DF,tpc,consecutive_sum,min_gap,2.0,51285.993,0.11833949089050289,0.2544320821762085,0.0,0.0007660667690174096,0.0,0.6166774217530542,0.3833225782469458,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397676,0.7843267977460234,35476.0,15.0,12826.0,
50,15,DD_DF,tpc,consecutive_sum,min_gap,3.0,54461.57100000001,0.15848596096038817,0.44290249347686766,0.0,0.056141405244315455,0.0,0.49453671910903874,0.5054632808909613,0.48011453700411505,0.5198854629958849,4.899999999999997,339.19999999999993,0.29949053309188056,0.7005094669081193,35476.0,15.0,12826.0,
50,15,DD_DF,sp,total_sum,min_gap,2.0,51285.993,0.1289086818695068,0.32917850017547606,0.0,2.756729898979552e-17,0.0,0.6166264076227522,0.38337359237724766,0.49626088682144986,0.50373911317855,6.5,367.5,0.21536106145057238,0.7846389385494278,41565.0,15.0,13754.0,
50,15,DD_DF,sp,total_sum,min_gap,3.0,54461.570999999996,0.16548728942871088,0.3248100757598877,0.0,7.912773750870142e-17,0.0,0.49459780690497473,0.5054021930950254,0.4800567694429567,0.5199432305570433,4.9,339.3,0.2998317708494464,0.7001682291505533,41565.0,15.0,13753.0,
50,15,DD_DF,sp,consecutive_sum,min_gap,2.0,51285.993,0.132574725151062,0.31783623695373536,0.0,0.0007653980617622509,0.0,0.6166774217530542,0.38332257824694577,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397676,0.7843267977460233,41596.0,15.0,13816.0,
50,15,DD_DF,tp,total_sum,min_gap,2.0,51285.993,0.12148077487945552,0.23684322834014893,0.0,9.820205862789523e-17,0.0,0.6166774217530542,0.38332257824694593,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397674,0.7843267977460232,41565.0,15.0,18764.0,
50,15,DD_DF,sp,consecutive_sum,min_gap,3.0,54461.570999999996,0.1634227037429809,0.4398017168045044,0.0,0.05611067235644275,0.0,0.49459780690497473,0.5054021930950254,0.4800567694429567,0.5199432305570433,4.9,339.3,0.2998317708494464,0.7001682291505533,41596.0,15.0,13816.0,
50,15,DD_DF,tp,total_sum,min_gap,3.0,54461.570999999996,0.167117166519165,0.2691023588180542,0.0,1.8867905837860257e-16,0.0,0.49453671910903907,0.5054632808909612,0.4801145370041152,0.5198854629958848,4.9,339.2,0.29949053309188034,0.7005094669081194,41565.0,15.0,18763.0,
50,15,DD_DF,tp,consecutive_sum,min_gap,2.0,51285.993,0.1400680303573608,0.2857089042663574,0.0,0.0007660667690174861,0.0,0.6166774217530542,0.38332257824694593,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397674,0.7843267977460232,41596.0,15.0,18826.0,
