N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_proportion_warehouse,holding_costs_proportion_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF,mc,not_sequential,all,0.0,51242.21999999999,0.11012430191040037,0.20199410915374752,0.0,4.78808437298921e-16,0.0,0.6134439836474608,0.38655601635253956,0.49369955205584937,0.5063004479441506,6.5,368.1,0.21903613254169393,0.7809638674583059,27130.0,15.0,24816.0,
50,15,DD_DF,tp,not_sequential,all,0.0,51242.22,0.12130610942840572,0.24638183116912837,0.0,1.574468010657495e-16,0.0,0.6134439836474606,0.38655601635253956,0.49369955205584937,0.5063004479441506,6.5,368.1,0.2190361325416939,0.7809638674583059,41565.0,15.0,18750.0,
50,15,DD_DF,sp,not_sequential,all,0.0,51242.22000000001,0.11933181285858152,0.3147334337234497,0.0,8.473783280935028e-17,0.0,0.6133470663903524,0.3866529336096476,0.49377645321175423,0.5062235467882458,6.5,367.9,0.2185758403032069,0.7814241596967932,41565.0,15.0,13740.0,
50,15,DD_DF,spc,not_sequential,all,0.0,51242.22,0.1106214046478271,0.3035186767578125,0.0,4.191225144342676e-17,0.0,0.6134439836474606,0.38655601635253944,0.49369955205584937,0.5063004479441506,6.5,368.1,0.219036132541694,0.7809638674583061,34765.0,15.0,7500.0,
50,15,DD_DF,tpc,not_sequential,all,0.0,51242.22,0.09815542697906489,0.2102141380310058,0.0,1.1337525205776226e-16,0.0,0.6134439836474604,0.3865560163525394,0.49369955205584937,0.5063004479441506,6.5,368.1,0.219036132541694,0.7809638674583063,35445.0,15.0,12750.0,
50,15,DD_DF,ses,not_sequential,all,0.0,51242.22000000001,0.08787827491760249,1.896781587600708,1.0227967526863354e-05,0.055216679496774,114.3,0.6133470663903523,0.38665293360964764,0.49377645321175423,0.5062235467882458,6.5,367.9,0.2185758403032069,0.7814241596967931,6885.0,765.0,6900.0,
50,15,DD_DF,es,not_sequential,all,0.0,51242.532999999974,0.008954691886901808,3.492910051345825,9.211523688561627e-05,0.6695517174949538,635.8,0.6135207638345374,0.3864792361654628,0.49363443118891004,0.50636556881109,6.5,368.2000000000001,0.21937105196168077,0.7806289480383185,2346.0,765.0,1596.0,
50,15,DD_SF,mc,not_sequential,all,0.0,54583.45099999998,0.19575126171112056,0.33127665519714355,4.33648147206256e-08,3.418231522189237e-05,0.0,0.6050049630863025,0.39499503691369797,0.5360601484015293,0.46393985159847073,6.0,358.3,0.2271199930472001,0.7728800069527997,27130.0,15.0,24816.0,
50,15,DD_DF,owmr,not_sequential,all,0.0,51242.48400000002,0.00477550029754633,7.346356797218323,8.614682779973613e-05,0.942341180590381,1201.7,0.6134100924501797,0.38658990754982014,0.49372633617778766,0.5062736638222124,6.5,367.89999999999907,0.21830619162296966,0.7816938083770305,2346.0,765.0,1581.0,
50,15,DD_SF,sp,not_sequential,all,0.0,54583.451,0.1608375787734985,0.3977117300033569,0.0,3.4182315221472804e-05,0.0,0.6050049630863021,0.3949950369136978,0.5360601484015293,0.46393985159847073,6.0,358.3,0.2271199930472001,0.7728800069527999,41565.0,15.0,13740.0,
50,15,DD_SF,tp,not_sequential,all,0.0,54583.451,0.1719079971313476,0.3025869369506836,0.0,3.418231522149256e-05,0.0,0.6050273464074594,0.3949726535925407,0.5360381444310434,0.4639618555689566,6.0,358.3,0.22723439608493656,0.7727656039150632,41565.0,15.0,18750.0,
50,15,DD_SF,spc,not_sequential,all,0.0,54583.451,0.13815970420837398,0.35520737171173095,0.0,3.418231522145966e-05,0.3,0.6050630691013723,0.3949369308986277,0.5360022318392161,0.46399776816078386,6.0,358.4,0.22733755155011304,0.7726624484498869,34765.0,15.0,7500.0,
50,15,DD_SF,tpc,not_sequential,all,0.0,54583.451,0.15618002414703366,0.2831959962844849,8.16342637544885e-06,3.418231522148113e-05,0.0,0.6050185738867471,0.39498142611325304,0.5360483256562523,0.46395167434374773,6.0,358.3,0.22710269699074007,0.7728973030092595,35445.0,15.0,12750.0,
50,15,DD_SF,ses,not_sequential,all,0.0,54583.451,0.10882821083068846,2.798850250244141,0.0,0.06945731478033548,259.5,0.6050351208704595,0.39496487912954054,0.5360364006699649,0.46396359933003495,6.0,358.3,0.22738232506685435,0.7726176749331455,6885.0,765.0,6900.0,
50,15,SD_SF,mc,not_sequential,all,0.0,52128.294999999955,0.2092973947525024,0.3547273874282837,4.877224394384029e-06,0.00012886079341908763,0.3,0.6280604271271788,0.37193957287282203,0.5135901389569664,0.4864098610430336,6.6,369.0,0.17496849662896138,0.8250315033710389,27130.0,15.0,24816.0,
50,15,DD_SF,es,not_sequential,all,0.0,54583.706999999995,0.0106859683990478,5.8188636779785154,8.863644589278236e-05,0.6816687738496838,1075.8,0.6047834201242264,0.3952165798757738,0.5362157987112532,0.46378420128874664,6.0,358.1000000000001,0.22707507658081175,0.772924923419188,2346.0,765.0,1596.0,
50,15,SD_SF,sp,not_sequential,all,0.0,52128.295,0.1677552223205566,0.4781924247741699,6.9006156604039315e-06,0.00012886079341824583,0.3,0.6280604271271781,0.371939572872822,0.5135901389569664,0.4864098610430336,6.6,369.0,0.1749684966289613,0.8250315033710386,41565.0,15.0,13740.0,
50,15,SD_SF,tp,not_sequential,all,0.0,52128.295,0.16401805877685544,0.35554568767547606,1.602419731904633e-06,0.00012886079341821634,0.3,0.6280208408982771,0.3719791591017229,0.513622629761884,0.4863773702381161,6.6,369.0,0.1750702888935861,0.8249297111064136,41565.0,15.0,18750.0,
50,15,SD_SF,spc,not_sequential,all,0.0,52128.295,0.14268045425415038,0.42736504077911375,0.0,0.00012886079341822707,0.6,0.6280208408982771,0.3719791591017229,0.513622629761884,0.4863773702381161,6.6,369.0,0.17507028889358606,0.8249297111064138,34765.0,15.0,7500.0,
50,15,SD_SF,tpc,not_sequential,all,0.0,52128.295,0.14988589286804196,0.3365201950073242,2.9589003513477115e-06,0.00012886079341819438,0.3,0.6280208408982771,0.37197915910172286,0.513622629761884,0.4863773702381161,6.6,369.0,0.1750702888935861,0.8249297111064138,35445.0,15.0,12750.0,
